,Name,Vorname,Fraktion/Gruppe,17-198-01,17-201-02,17-201-03,17-201-04,17-201-05,17-201-01,17-205-01,17-205-02,17-207-01,17-207-02,17-208-01,17-209-01,17-211-01,17-211-02,17-212-01,17-213-01,17-213-02,17-213-03,17-213-04,17-213-05,17-214-01,17-214-02,17-214-03,17-214-04,17-214-05,17-214-06,17-215-01,17-217-01,17-219-01,17-225-03,17-225-01,17-225-02,17-225-04,17-225-05,17-226-02,17-226-03,17-226-01,17-229-01,17-234-03,17-234-04,17-234-05,17-234-01,17-234-02,17-237-01,17-237-02,17-240-03,17-240-02,17-240-01,17-242-01,17-243-01,17-244-01,17-246-01,17-246-02,17-247-01,17-250-01,17-250-02,17-250-03,17-250-04,17-250-05,17-250-06,17-250-07,17-250-08,17-250-09,17-251-01
576,Kindler,Sven-Christian,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Abwesend,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Abwesend,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
577,Klein-Schmeink,Maria,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Ja,Enthaltung,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Enthaltung,Ja,Abwesend,Enthaltung,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Enthaltung,Ja,Ja,Ja,Ja,Ja,Ja,Ja
578,Koczy,Ute,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Enthaltung,Enthaltung,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
579,Koenigs,Tom,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Abwesend,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Abwesend,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
580,Kotting-Uhl,Sylvia,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Ja,Enthaltung,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Enthaltung,Ja,Nein,Enthaltung,Ja,Enthaltung,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,,,,,,,,,,Ja,,Enthaltung,Ja,Enthaltung,Ja,Ja,Ja,Ja,Ja
581,Krischer,Oliver,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Enthaltung,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
582,Krumwiede,Agnes,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Abwesend,Abwesend,Ja,Abwesend,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Abwesend,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
583,Kuhn,Fritz,BÜNDNIS`90/DIE GRÜNEN,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Abwesend,Abwesend,Abwesend,Ja,Nein,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Kühn,Stephan,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Abwesend,Ja,Ja,Ja,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Ja,Nein,Nein,,,,,,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
585,Künast,Renate,BÜNDNIS`90/DIE GRÜNEN,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Enthaltung,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Enthaltung,Enthaltung,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Enthaltung,Nein,,,,,,,,,,Ja,,Ja,Abwesend,Abwesend,Ja,Ja,Ja,Ja,Ja
