;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
1637;Bachmann;Carolin;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1638;Baum;Christina;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein
1639;Beckamp;Roger;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend
1640;Bochmann;René;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1641;Bollmann;Gereon;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1642;Brandes;Dirk;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1643;Dietz;Thomas;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Abwesend;Ja;Abwesend
1644;Farle;Robert;AfD;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1645;Gnauck;Hannes;AfD;Nein;Nein;Abwesend;Abwesend;Nein;Abwesend;Nein;Nein;Nein;Ja;Nein
1646;Huy;Gerrit;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Abwesend;Abwesend
1647;Janich;Steffen;AfD;Abwesend;Abwesend;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Nein;Enthaltung;Nein
1648;Kaufmann;Malte;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1649;Kaufmann;Michael;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1650;Lenk;Barbara;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Abwesend;Nein;Ja;Nein
1651;Moncsek;Mike;AfD;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Abwesend;Abwesend;Abwesend;Abwesend
1652;Moosdorf;Matthias;AfD;Nein;Nein;Enthaltung;Nein;Abwesend;Nein;Nein;Nein;Nein;Ja;Nein
1653;Naujok;Edgar;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Abwesend
1654;Rinck;Frank;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1655;Schattner;Bernd;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1656;Schmidt;Eugen;AfD;Nein;Nein;Enthaltung;Nein;Nein;Abwesend;Nein;Nein;Nein;Ja;Abwesend
1657;Schmidt;Jan Wenzel;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1658;Stöber;Klaus;AfD;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein
1659;Wundrak;Joachim;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1660;Ziegler;Kay-Uwe;AfD;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1661;Al-Dailami;Ali;DIE LINKE.;Abwesend;Abwesend;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1662;Görke;Christian;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1663;Gürpinar;Ates;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1664;Hennig-Wellsow;Susanne;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Abwesend;Abwesend;Nein;Nein;Nein;Nein;Nein
1665;Latendorf;Ina;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Abwesend;Nein;Nein;Nein;Nein;Nein
1666;Leye;Christian;DIE LINKE.;Enthaltung;Nein;Abwesend;Abwesend;Nein;Nein;Abwesend;Nein;Nein;Nein;Nein
1667;Reichinnek;Heidi;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1668;Wissler;Janine;DIE LINKE.;Enthaltung;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1669;Helferich;Matthias;Fraktionslos;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein
1670;Seidler;Stefan;Fraktionslos;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Abwesend;Abwesend;Abwesend;Abwesend
1671;Kuban;Tilman;CDU/CSU;;;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
1672;Vogel;Johannes;FDP;;;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja
1673;Bünger;Clara;DIE LINKE.;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein
1674;Huber;Johannes;Fraktionslos;;;;;Nein;Nein;Nein;Abwesend;Nein;Abwesend;Nein
1675;Witt;Uwe;Fraktionslos;;;;;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
1676;Taher Saleh;Kassem;BÜ90/GR;;;;;;;;Nein;Ja;Ja;Ja
